"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8239","signup with valid credentials for vinayksgowda123567@gmail.com","chromium","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","12933","signup with valid credentials for bob@example.com","firefox","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","3726","has title","webkit","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","9033","login with invalid email format shows validation error","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","5768","has title","firefox","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","3642","signup with valid credentials for bob@example.com","chromium","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","13328","test1","webkit","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","9139","signup1 with invalid email","webkit","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","14156","login with invalid email format shows validation error","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2534","signup with valid credentials for alice@example.com","chromium","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","6324","signup3 with invalid username shows validation error","webkit","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","3445","login with SQL injection attempt shows error","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","10481","test2","webkit","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","22588","login with valid credentials for alice@example.com","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","10644","signup with valid credentials for vinayksgowda123567@gmail.com","firefox","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","4059","signup1 with invalid email","chromium","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","18235","login with XSS attempt shows error","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3802","signup3 with invalid username shows validation error","chromium","2026-03-23","passed","2026-03-23","","signUp.spec.js","",""
"","15185","login with short password shows validation error","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","10115","login with valid credentials for test@example.com","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
